term,definition,category,URI,related URI,exact synonyms,partial synonyms,notes,exemplars
auriculate,A shape trait in which a gall resembles an ear,shape,http://purl.obolibrary.org/obo/PATO_0001981,,,,,
clavate,"A shape trait in which a gall resembles a club, with the distal end of the gall distinctly expanded relative to the proximal end",shape,http://purl.obolibrary.org/obo/PATO_0001883,,,,,
columnar,A shape trait in which a gall is taller than wide and cylindrical,shape,http://purl.obolibrary.org/obo/PATO_0002063,,,,,
curved,A shape trait in which a gall has or is marked by a curve or smoothly rounded bend,shape,http://purl.obolibrary.org/obo/PATO_0000406,,,,,
cylindrical,"A shape trait in which a gall has a convex 3-D shape, exhibiting a consistently-sized round cross section",shape,http://purl.obolibrary.org/obo/PATO_0001873,,,,,
falciform,A shape trait in which a gall resembles a scythe or sickle,shape,http://purl.obolibrary.org/obo/PATO_0002215,,,,,
fimbriated,A shape trait in which a gall has a fringe or border of hairlike or fingerlike projections,shape,http://purl.obolibrary.org/obo/PATO_0002311,,,,,
flared,A shape trait in which a gall is expanded laterally and/or opened apically,shape,http://purl.obolibrary.org/obo/PATO_0040022,,,,,
fusiform,A shape trait in which a gall has a spindle-like shape that is wide in the middle and tapers at both ends,shape,http://purl.obolibrary.org/obo/PATO_0002400,,,,,
lanceolate,"A shape trait in which a gall is shaped like a lance-head, considerably longer than wide, tapering towards the tip from below the middle; attached at the broad end",shape,http://purl.obolibrary.org/obo/PATO_0001877,,,,,
lenticular,"A shape trait in which a gall resembles the shape of a lentil, with convex upper and lower surfaces",shape,,,,discoid; discoidal,,
lobed,A shape trait in which a gall is partly divided into a determinate number of regions,shape,http://purl.obolibrary.org/obo/PATO_0001979,,,,,
papillary,"A shape trait in which a gall's surface features a small, nipple-like projection",shape,http://purl.obolibrary.org/obo/PATO_0002108,,,,,
papillomatous,"A shape trait in which a gall has a round or lobulated protruding form, resembling a nipple",shape,http://purl.obolibrary.org/obo/PATO_0002423,,,,,
pointleted,A shape trait in which a gall terminates abruptly in a little point,shape,http://purl.obolibrary.org/obo/PATO_0001949,,,,,
reniform,A shape trait in which a gall has the shape of a kidney,shape,http://purl.obolibrary.org/obo/PATO_0001871,,,,,
sigmoid,"A shape trait in which a gall consists of two curves, in opposite directions. S-shaped",shape,http://purl.obolibrary.org/obo/PATO_0001878,,s-shaped,,,
spherical,A shape trait in which a gall resembles a ball (a sphere whose equatorial diameter is equal to the polar diameter),shape,http://purl.obolibrary.org/obo/PATO_0001499,,,,,
spindle-shaped,A shape trait in which a gall resembles a long tapered rod,shape,http://purl.obolibrary.org/obo/PATO_0001409,,,,,
subelliptical,A shape trait in which a gall is nearly symmetrically ovoid or elliptical,shape,http://purl.obolibrary.org/obo/PATO_0005004,,,ellipsoid; ovate; ovular; egg-shaped,,
subpyramidal,A shape trait in which a gall has three or more nearly triangular surfaces that meet apically to form a pyramid-like structure,shape,,,,,,
subspherical,"A shape trait in which a gall is nearly, but not perfectly, spherical",shape,http://purl.obolibrary.org/obo/PATO_0005014,,,globular; globose,,
tapered,A shape trait in which a gall gradually narrows or is thinner toward one end,shape,http://purl.obolibrary.org/obo/PATO_0001500,,,,,
tholiform,A shape trait in which a gall is dome-shaped,shape,http://purl.obolibrary.org/obo/PATO_0002335,,,,,
wedge-shaped,"A shape trait in which a gall is narrowly triangular, wider at the apex and tapering toward the base",shape,http://purl.obolibrary.org/obo/PATO_0001955,,,,,
deciduous,A shedability trait in which a gall detaches naturally from its location; detachable,shedability,http://purl.obolibrary.org/obo/PATO_0001730,,,detachable,,Neuroterus saltarius
non-deciduous,A shedability trait in which a gall does not detach easily; integral,shedability,http://purl.obolibrary.org/obo/PATO_0001732,,integral,,,Andricus quercuspetiolicola
semideciduous,A shedability trait in which a gall can readily be detached from its location but it normally (in nature) stays attached; detachable,shedability,,,,,,Acraspis erinacei
swollen,"A structure quality in which the gall location is indicated by abnormal enlargement of plant tissue, not due to cell proliferation",structure quality,http://purl.obolibrary.org/obo/PATO_0001851,,enlarged,inflated,,
botryoidal,An surface texture trait in which a gall's surface is like the surface of a compact mass of grapes,surface texture,http://purl.obolibrary.org/obo/PATO_0001907,,,,,
filamentous,An surface texture trait in which a gall's surface has any number of thin filamentous extensions,surface texture,http://www.ontobee.org/ontology/PATO?iri=http://purl.obolibrary.org/obo/PATO_0001360,,,,,
knobbled,An surface texture trait in which a gall's surface has numerous very small circular rounded projections or protuberances,surface texture,http://purl.obolibrary.org/obo/PATO_0002427,,,tuberculose,,
moss-like,An surface texture trait in which a gall's surface has he appearance and/or consistency of moss,surface texture,,,,,,
papery,An surface texture trait in which a gall's surface has the consistency and thickness of a paper bag (thin and dry),surface texture,,,,,,
pruinose,"An surface texture trait in which a gall's surface is covered in a whitish, powdery bloom",surface texture,,,,,,
rough,An surface texture trait in which a gall's surface is irregular,surface texture,http://purl.obolibrary.org/obo/PATO_0000700,,,,,
rugose,An surface texture trait in which a gall's surface has many wrinkles or creases,surface texture,http://purl.obolibrary.org/obo/PATO_0001359,,,,,
scaly,An surface texture trait in which a gall's surface is covered or partially covered with scales,surface texture,http://purl.obolibrary.org/obo/PATO_0001804,,,,,
smooth,An surface texture trait in which a gall's surface is free of roughness or irregularities,surface texture,http://purl.obolibrary.org/obo/PATO_0000701,,,,,
spinulose,"An surface texture trait in which a gall's surface includes short, pointed projections",surface texture,,,,,,
spiny,"An surface texture trait in which a gall's surface includes elongate, pointed projections",surface texture,http://purl.obolibrary.org/obo/PATO_0001365,,,,,Diplolepis polita
unornamented,"An surface texture trait in which a gall's surface is lacking ridges, pits, rugosity or other surface structures",surface texture,http://purl.obolibrary.org/obo/PATO_0002442,,,,,
viscid,An surface texture trait in which a gall's surface is sticky,surface texture,http://purl.obolibrary.org/obo/PATO_0001370,,,,,
warty,"An surface texture trait in which a gall's surface is covered with warts or projections that resemble warts, resulting in a hard rough surface",surface texture,http://purl.obolibrary.org/obo/PATO_0001361,,,,,
wrinkled,An surface texture trait in which a gall's surface is marked by one or more creases in a normally smooth surface,surface texture,http://purl.obolibrary.org/obo/PATO_0001810,,,,,
